epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,95.1995,0.9675,4.02459,0.52324,0.84434,0.97207,0.50301,0.56542,0.43262,0.55877,0.29782,0.25431,0.07474,0.77692,5.11557,0.51669,0.79528,0.00101873,0.00101873,0.00101873
60,96.8047,1.05218,3.89839,0.53734,0.84812,0.94623,0.51541,0.60202,0.44491,0.59782,0.3193,0.27133,0.08655,0.78019,5.12383,0.53728,0.798,0.00101166,0.00101166,0.00101166
61,98.3806,1.00717,3.83096,0.52977,0.86183,0.94623,0.51541,0.60202,0.44491,0.59782,0.3193,0.27133,0.08655,0.78019,5.12383,0.53728,0.798,0.00100459,0.00100459,0.00100459
62,99.9791,0.93899,4.02226,0.51266,0.83598,0.99651,0.5014,0.57553,0.4195,0.69228,0.34821,0.30198,0.0762,0.92778,5.17782,0.52731,0.82212,0.000997513,0.000997513,0.000997513
63,101.578,0.9809,3.64952,0.52375,0.84281,0.98976,0.5014,0.57605,0.43405,0.50675,0.25672,0.20196,0.05261,0.8826,5.23641,0.54157,0.82078,0.00099044,0.00099044,0.00099044
64,103.162,0.95278,3.93745,0.5144,0.8317,0.99215,0.50459,0.58866,0.46109,0.62949,0.32073,0.26653,0.09716,0.76951,5.18674,0.48497,0.8032,0.000983366,0.000983366,0.000983366
65,104.737,0.97865,3.84748,0.52038,0.83134,0.99215,0.50459,0.58866,0.46109,0.62949,0.32073,0.26653,0.09716,0.76951,5.18674,0.48497,0.8032,0.000976293,0.000976293,0.000976293
66,106.349,0.94137,3.74112,0.5028,0.83274,0.9896,0.50275,0.61042,0.47839,0.96974,0.49024,0.54225,0.27311,0.73633,4.62091,0.56583,0.80407,0.000969219,0.000969219,0.000969219
67,107.953,1.01955,3.54006,0.52693,0.85203,0.96938,0.507,0.60273,0.47132,0.95726,0.49737,0.5419,0.27359,0.6907,4.51515,0.69068,0.80288,0.000962146,0.000962146,0.000962146
68,109.502,0.91564,3.77009,0.50282,0.84902,0.9602,0.49968,0.59713,0.45264,0.95841,0.49111,0.5293,0.27596,0.79975,4.93275,0.90902,0.82174,0.000955072,0.000955072,0.000955072
69,111.094,0.95443,4.20257,0.51708,0.84003,0.9602,0.49968,0.59713,0.45264,0.95841,0.49111,0.5293,0.27596,0.79975,4.93275,0.90902,0.82174,0.000947999,0.000947999,0.000947999
70,112.661,1.02404,4.23146,0.54084,0.84717,0.95923,0.50976,0.59238,0.44554,0.94545,0.48694,0.51845,0.24206,0.84465,4.97269,0.79,0.82091,0.000940925,0.000940925,0.000940925
71,114.257,1.01126,4.18628,0.53755,0.85606,0.98524,0.5014,0.59381,0.4461,0.97987,0.4986,0.52201,0.25107,0.78689,4.89942,0.50265,0.81306,0.000933851,0.000933851,0.000933851
72,115.891,1.0135,4.0171,0.52764,0.84517,0.98582,0.50368,0.60357,0.46498,0.98181,0.5014,0.51927,0.30376,0.71286,4.8568,0.47891,0.80495,0.000926778,0.000926778,0.000926778
73,117.47,0.96288,4.16078,0.53701,0.84712,0.98582,0.50368,0.60357,0.46498,0.98181,0.5014,0.51927,0.30376,0.71286,4.8568,0.47891,0.80495,0.000919704,0.000919704,0.000919704
74,119.067,0.95698,3.8609,0.51686,0.83783,0.98051,0.49422,0.6054,0.48259,0.9752,0.49144,0.54498,0.31101,0.70338,4.77905,0.58021,0.80118,0.000912631,0.000912631,0.000912631
75,120.703,0.97056,3.86931,0.52667,0.8407,0.85458,0.49095,0.67574,0.54572,0.84284,0.47593,0.64692,0.37145,0.7774,4.97779,1.05093,0.81473,0.000905557,0.000905557,0.000905557
