epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
51,72.3972,0.92539,4.22403,0.54816,0.85974,0.80869,0.53675,0.60649,0.43538,0.74441,0.39631,0.37221,0.13712,0.77912,4.95328,0.5573,0.82665,0.00125442,0.00125442,0.00125442
52,73.7853,0.88143,4.32891,0.52359,0.85389,0.9487,0.5046,0.62087,0.46182,0.79135,0.43157,0.43082,0.19158,0.76543,5.21406,0.5489,0.82828,0.00124617,0.00124617,0.00124617
53,75.1757,0.88146,4.89125,0.51463,0.85464,0.9487,0.5046,0.62087,0.46182,0.79135,0.43157,0.43082,0.19158,0.76543,5.21406,0.5489,0.82828,0.00123791,0.00123791,0.00123791
54,76.5622,0.92982,4.44761,0.52773,0.8619,0.9435,0.50702,0.62256,0.45786,0.7487,0.38826,0.38805,0.17256,0.75531,4.98875,0.52536,0.8251,0.00122966,0.00122966,0.00122966
55,77.9374,0.8663,4.51622,0.51535,0.86319,0.91067,0.50671,0.61192,0.45463,0.75651,0.37689,0.36772,0.15171,0.76587,4.90733,0.49313,0.8169,0.00122141,0.00122141,0.00122141
56,79.3101,0.88332,4.4406,0.52493,0.84373,0.95652,0.49384,0.62561,0.44723,0.83571,0.4304,0.43061,0.16993,0.79546,4.99395,0.49273,0.82437,0.00121316,0.00121316,0.00121316
57,80.7138,0.89535,4.48763,0.52522,0.86171,0.95652,0.49384,0.62561,0.44723,0.83571,0.4304,0.43061,0.16993,0.79546,4.99395,0.49273,0.82437,0.00120491,0.00120491,0.00120491
58,82.1404,0.95412,4.48171,0.52761,0.84556,0.8416,0.53409,0.60703,0.41345,0.80829,0.44201,0.43361,0.19675,0.85702,5.03701,0.57406,0.83144,0.00119666,0.00119666,0.00119666
59,83.514,0.97199,4.45883,0.55158,0.84834,0.84654,0.55634,0.61714,0.42754,0.77243,0.42566,0.40692,0.18817,0.85747,4.84134,0.6059,0.83041,0.0011884,0.0011884,0.0011884
60,84.9025,0.95097,4.34997,0.54397,0.83128,0.82052,0.53362,0.60052,0.44489,0.83801,0.4304,0.43812,0.19505,0.73359,4.5625,0.5249,0.80772,0.00118015,0.00118015,0.00118015
61,86.2538,0.961,4.36317,0.56792,0.8609,0.82052,0.53362,0.60052,0.44489,0.83801,0.4304,0.43812,0.19505,0.73359,4.5625,0.5249,0.80772,0.0011719,0.0011719,0.0011719
62,87.6513,0.9837,4.43128,0.54501,0.86184,0.81252,0.5625,0.62873,0.45228,0.85895,0.4465,0.46237,0.22632,0.73321,4.61506,0.49379,0.80783,0.00116365,0.00116365,0.00116365
63,89.0526,0.95438,4.39311,0.54271,0.8533,0.96774,0.49384,0.61245,0.45151,0.86501,0.44129,0.46093,0.2475,0.76963,5.36909,0.51027,0.81801,0.0011554,0.0011554,0.0011554
64,90.4372,0.93599,4.5573,0.52895,0.85119,0.88339,0.53362,0.64397,0.46189,0.82948,0.42645,0.45115,0.23002,0.85277,5.41173,0.53552,0.82851,0.00114715,0.00114715,0.00114715
65,91.8507,0.97052,4.40844,0.53841,0.84894,0.88339,0.53362,0.64397,0.46189,0.82948,0.42645,0.45115,0.23002,0.85277,5.41173,0.53552,0.82851,0.00113889,0.00113889,0.00113889
66,93.2598,0.95893,4.43615,0.53996,0.84212,0.90399,0.52794,0.64353,0.47745,0.8472,0.41998,0.4295,0.21389,0.80277,5.02111,0.51195,0.82231,0.00113064,0.00113064,0.00113064
67,94.6242,0.92414,4.49785,0.53775,0.85495,0.82248,0.53053,0.65473,0.48631,0.73838,0.37577,0.42414,0.1957,0.75768,4.77101,0.5912,0.81882,0.00112239,0.00112239,0.00112239
68,95.9939,0.90713,4.39185,0.52574,0.86853,0.81867,0.4581,0.5666,0.41158,0.74619,0.35038,0.38622,0.17738,0.83983,4.99084,0.89307,0.84529,0.00111414,0.00111414,0.00111414
69,97.3866,0.90267,4.40644,0.50909,0.85664,0.81867,0.4581,0.5666,0.41158,0.74619,0.35038,0.38622,0.17738,0.83983,4.99084,0.89307,0.84529,0.00110589,0.00110589,0.00110589
70,98.7835,0.89816,4.20534,0.52425,0.85188,0.89808,0.45145,0.56199,0.41405,0.75722,0.38075,0.40718,0.1942,0.80148,5.0938,0.8282,0.84355,0.00109764,0.00109764,0.00109764
71,100.182,0.86548,4.21753,0.51623,0.85307,0.91978,0.46118,0.58522,0.42858,0.93824,0.38928,0.45821,0.22589,0.8548,5.13049,0.75596,0.84406,0.00108938,0.00108938,0.00108938
72,101.617,0.93201,4.33822,0.50367,0.84077,0.91568,0.46805,0.57808,0.41399,0.90882,0.39299,0.47327,0.2198,0.91629,5.13108,0.82021,0.85118,0.00108113,0.00108113,0.00108113
73,103.007,0.90492,4.23238,0.52029,0.83977,0.91568,0.46805,0.57808,0.41399,0.90882,0.39299,0.47327,0.2198,0.91629,5.13108,0.82021,0.85118,0.00107288,0.00107288,0.00107288
74,104.405,0.90239,4.13003,0.51243,0.84643,0.91686,0.45322,0.62217,0.46492,0.92045,0.39867,0.50372,0.28285,0.83533,4.81753,0.83024,0.84211,0.00106463,0.00106463,0.00106463
75,105.852,0.82367,4.1984,0.47901,0.82727,0.96372,0.45312,0.59977,0.46365,0.90493,0.4143,0.50519,0.27979,0.76149,4.82458,0.72515,0.82978,0.00105638,0.00105638,0.00105638
76,107.189,0.85592,4.26947,0.48437,0.83632,0.88774,0.49432,0.62244,0.48441,0.85845,0.45625,0.49788,0.27896,0.70227,4.50667,0.56673,0.80826,0.00104813,0.00104813,0.00104813
77,108.646,0.86385,4.24548,0.4908,0.82835,0.88774,0.49432,0.62244,0.48441,0.85845,0.45625,0.49788,0.27896,0.70227,4.50667,0.56673,0.80826,0.00103987,0.00103987,0.00103987
78,110.029,0.80137,4.26119,0.47245,0.83779,0.9901,0.49432,0.62006,0.48198,0.86716,0.42566,0.44885,0.23758,0.70471,4.52769,0.46225,0.80719,0.00103162,0.00103162,0.00103162
79,111.42,0.8797,4.2689,0.49278,0.84185,0.95768,0.52178,0.63813,0.49747,0.76421,0.39704,0.4194,0.19265,0.70742,4.50132,0.44895,0.80974,0.00102337,0.00102337,0.00102337
80,112.8,0.84283,4.31409,0.47983,0.84018,0.93103,0.5015,0.63018,0.48831,0.84825,0.40909,0.46688,0.20278,0.7346,4.54459,0.4595,0.81356,0.00101512,0.00101512,0.00101512
81,114.189,0.86909,4.24982,0.49729,0.85622,0.93103,0.5015,0.63018,0.48831,0.84825,0.40909,0.46688,0.20278,0.7346,4.54459,0.4595,0.81356,0.00100687,0.00100687,0.00100687
82,115.597,0.89247,4.21775,0.48485,0.84031,0.94998,0.50286,0.64531,0.48549,0.7679,0.36884,0.40116,0.17532,0.72362,4.55075,0.47605,0.81264,0.000998616,0.000998616,0.000998616
83,116.96,0.8195,4.04365,0.47458,0.8489,0.91728,0.53172,0.68874,0.49931,0.64621,0.32102,0.30187,0.13615,0.71263,4.68837,0.48623,0.8112,0.000990365,0.000990365,0.000990365
84,118.357,0.84446,4.08436,0.48767,0.84333,0.99759,0.48816,0.65469,0.47676,0.68067,0.33759,0.3142,0.17651,0.75711,4.84289,0.50262,0.82058,0.000982113,0.000982113,0.000982113
85,119.74,0.87604,4.21112,0.48407,0.84472,0.99759,0.48816,0.65469,0.47676,0.68067,0.33759,0.3142,0.17651,0.75711,4.84289,0.50262,0.82058,0.000973861,0.000973861,0.000973861
86,121.121,0.85965,3.98955,0.49077,0.84165,0.92806,0.51861,0.65674,0.4645,0.7695,0.37642,0.37599,0.21542,0.7985,5.06827,0.50504,0.83269,0.00096561,0.00096561,0.00096561
87,122.488,0.8464,4.0384,0.48695,0.84802,0.93695,0.56593,0.68224,0.5017,0.85781,0.42235,0.44958,0.25977,0.74822,4.90535,0.47987,0.82172,0.000957358,0.000957358,0.000957358
88,123.824,0.84228,4.30015,0.48355,0.84957,0.92841,0.55649,0.68437,0.51111,0.96116,0.46686,0.52831,0.30026,0.72414,4.76764,0.46613,0.81477,0.000949106,0.000949106,0.000949106
89,125.233,0.87831,4.14902,0.48156,0.85128,0.92841,0.55649,0.68437,0.51111,0.96116,0.46686,0.52831,0.30026,0.72414,4.76764,0.46613,0.81477,0.000940855,0.000940855,0.000940855
90,126.653,0.8269,4.15384,0.47996,0.84519,0.95943,0.51602,0.66732,0.51231,0.90602,0.4517,0.48193,0.28362,0.69547,4.65973,0.46444,0.81169,0.000932603,0.000932603,0.000932603
91,128.036,0.83101,4.13574,0.46827,0.84777,0.98191,0.49957,0.63038,0.48862,0.87357,0.44034,0.45469,0.26377,0.69242,4.61476,0.46177,0.80903,0.000924352,0.000924352,0.000924352
