epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,71.8862,0.68462,0.75967,0.43686,0.84779,0.96947,0.93382,0.98171,0.8137,0.96947,0.93382,0.98171,0.65125,0.67858,1.07211,0.54523,0.81649,0.00104703,0.00104703,0.00104703
56,73.1419,0.65514,0.7364,0.44129,0.82426,0.97262,0.92159,0.97214,0.81658,0.97262,0.92159,0.97267,0.6645,0.69788,1.31185,0.57758,0.82913,0.00103995,0.00103995,0.00103995
57,74.4605,0.79305,0.86525,0.46464,0.85469,0.97262,0.92159,0.97214,0.81658,0.97262,0.92159,0.97267,0.6645,0.69788,1.31185,0.57758,0.82913,0.00103288,0.00103288,0.00103288
58,75.7542,0.70726,0.72597,0.45975,0.83157,0.97527,0.95246,0.97871,0.82148,0.97527,0.95246,0.97871,0.67351,0.64513,1.07835,0.57034,0.82218,0.00102581,0.00102581,0.00102581
59,77.0401,0.72535,0.80081,0.44482,0.83767,0.92436,0.96281,0.98621,0.77872,0.92436,0.96281,0.98621,0.65816,0.74893,1.02754,0.5383,0.82926,0.00101873,0.00101873,0.00101873
60,78.3337,0.72873,0.84193,0.44009,0.83029,0.78852,0.90849,0.95004,0.75078,0.78852,0.90849,0.95004,0.61861,0.7608,0.95328,0.71178,0.83002,0.00101166,0.00101166,0.00101166
61,79.6166,0.77821,0.80475,0.50725,0.86068,0.78852,0.90849,0.95004,0.75078,0.78852,0.90849,0.95004,0.61861,0.7608,0.95328,0.71178,0.83002,0.00100459,0.00100459,0.00100459
62,80.9154,0.72549,0.79953,0.45563,0.84865,0.71295,0.85918,0.85611,0.7192,0.71295,0.85918,0.85611,0.59566,0.63289,0.99643,0.8857,0.8158,0.000997513,0.000997513,0.000997513
63,82.2003,0.70366,0.76105,0.49262,0.84123,0.82937,0.8479,0.92393,0.76705,0.82937,0.8479,0.92393,0.6493,0.66346,1.20316,0.67578,0.82244,0.00099044,0.00099044,0.00099044
64,83.5143,0.68302,0.7661,0.4425,0.83925,0.92481,0.97158,0.98216,0.79878,0.92481,0.97158,0.98216,0.66405,0.69914,1.38008,0.49005,0.82613,0.000983366,0.000983366,0.000983366
65,84.7841,0.68016,0.74185,0.42266,0.82866,0.92481,0.97158,0.98216,0.79878,0.92481,0.97158,0.98216,0.66405,0.69914,1.38008,0.49005,0.82613,0.000976293,0.000976293,0.000976293
66,86.095,0.66778,0.7707,0.41737,0.83293,0.96617,0.99588,0.99246,0.83598,0.96617,0.99588,0.99246,0.69214,0.5935,0.97077,0.42739,0.80204,0.000969219,0.000969219,0.000969219
67,87.3835,0.6701,0.72747,0.42621,0.83708,0.96894,0.99766,0.99332,0.79594,0.96894,0.99766,0.99332,0.70543,0.6747,1.31366,0.4701,0.81622,0.000962146,0.000962146,0.000962146
68,88.704,0.68567,0.76352,0.43684,0.83966,0.9943,0.98605,0.99464,0.83657,0.9943,0.98605,0.99464,0.7353,0.57754,0.75668,0.41364,0.79774,0.000955072,0.000955072,0.000955072
69,90.0607,0.67761,0.69507,0.43508,0.84539,0.9943,0.98605,0.99464,0.83657,0.9943,0.98605,0.99464,0.7353,0.57754,0.75668,0.41364,0.79774,0.000947999,0.000947999,0.000947999
70,91.3912,0.6839,0.77727,0.43477,0.83552,0.99236,0.98765,0.99318,0.83672,0.99236,0.98765,0.99318,0.70851,0.58883,0.75977,0.43117,0.79898,0.000940925,0.000940925,0.000940925
71,92.769,0.654,0.77252,0.41863,0.83332,0.97823,0.99848,0.99464,0.84617,0.97823,0.99848,0.99464,0.71047,0.59393,0.72451,0.4127,0.79383,0.000933851,0.000933851,0.000933851
72,94.1763,0.63321,0.66428,0.40142,0.82604,0.98538,0.98279,0.99464,0.8396,0.98538,0.98279,0.99464,0.75708,0.61668,0.7643,0.43646,0.80571,0.000926778,0.000926778,0.000926778
73,95.5275,0.63735,0.71716,0.42157,0.83788,0.98538,0.98279,0.99464,0.8396,0.98538,0.98279,0.99464,0.75708,0.61668,0.7643,0.43646,0.80571,0.000919704,0.000919704,0.000919704
74,96.9026,0.69034,0.76282,0.42335,0.83992,0.98834,0.98299,0.995,0.85903,0.98834,0.98299,0.995,0.75881,0.58137,0.71348,0.42104,0.80248,0.000912631,0.000912631,0.000912631
75,98.247,0.671,0.69856,0.4139,0.85036,0.99391,0.98,0.99138,0.8422,0.99391,0.98,0.99138,0.72302,0.54367,0.70951,0.39497,0.79152,0.000905557,0.000905557,0.000905557
76,99.4853,0.62564,0.68023,0.41136,0.84375,0.99577,0.98202,0.995,0.85559,0.99577,0.98202,0.995,0.72646,0.5459,0.73209,0.39569,0.78853,0.000898484,0.000898484,0.000898484
77,100.77,0.68467,0.85296,0.42336,0.83074,0.99577,0.98202,0.995,0.85559,0.99577,0.98202,0.995,0.72646,0.5459,0.73209,0.39569,0.78853,0.00089141,0.00089141,0.00089141
78,102.046,0.62009,0.71237,0.40627,0.83072,0.98054,0.98288,0.99417,0.8449,0.98054,0.98288,0.99417,0.72622,0.56042,0.65546,0.41697,0.79015,0.000884337,0.000884337,0.000884337
79,103.305,0.66055,0.71643,0.42189,0.84389,0.97214,0.98557,0.99382,0.83635,0.97214,0.98557,0.99382,0.69367,0.60798,0.75832,0.45802,0.79324,0.000877263,0.000877263,0.000877263
80,104.568,0.68674,0.7707,0.42128,0.84258,0.9686,0.99149,0.99382,0.83925,0.9686,0.99149,0.99382,0.70971,0.6035,0.62916,0.44442,0.79176,0.00087019,0.00087019,0.00087019
