epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
111,104.774,0.64434,0.42494,0.94719,0.97879,1,0.995,0.75847,0.96119,0.40299,1.09911,0.000569375,0.000569375,0.000569375
112,105.692,0.67404,0.45624,0.98131,0.9907,1,0.995,0.77091,0.9613,0.39332,1.14157,0.000563187,0.000563187,0.000563187
113,106.619,0.65949,0.41998,0.94015,0.9907,1,0.995,0.77091,0.9613,0.39332,1.14157,0.000557,0.000557,0.000557
114,107.545,0.61065,0.38958,0.91793,0.98605,0.99923,0.995,0.77535,0.92321,0.40246,1.15792,0.000550813,0.000550813,0.000550813
115,108.467,0.6636,0.41164,0.95441,0.97909,0.99721,0.995,0.7825,0.90251,0.40195,1.14414,0.000544625,0.000544625,0.000544625
116,109.384,0.6526,0.38955,0.91339,0.97106,0.99608,0.995,0.78559,0.90348,0.39276,1.10877,0.000538438,0.000538438,0.000538438
117,110.348,0.57451,0.39991,0.91963,0.97106,0.99608,0.995,0.78559,0.90348,0.39276,1.10877,0.00053225,0.00053225,0.00053225
118,111.34,0.72494,0.42512,1.00722,0.97182,0.99715,0.995,0.76386,0.95289,0.40334,1.09892,0.000526063,0.000526063,0.000526063
119,112.289,0.66234,0.4043,0.97801,0.98028,0.99887,0.995,0.77331,0.9602,0.41367,1.10871,0.000519875,0.000519875,0.000519875
120,113.213,0.6757,0.41711,0.95031,0.98204,1,0.995,0.79944,0.9527,0.40574,1.11861,0.000513688,0.000513688,0.000513688
121,114.164,0.68449,0.45586,0.97521,0.98204,1,0.995,0.79944,0.9527,0.40574,1.11861,0.0005075,0.0005075,0.0005075
122,115.159,0.63404,0.39479,0.92027,0.97629,1,0.995,0.77771,0.954,0.404,1.12415,0.000501313,0.000501313,0.000501313
123,116.125,0.65544,0.41066,0.9375,0.97311,1,0.995,0.77222,0.94778,0.38407,1.11988,0.000495125,0.000495125,0.000495125
124,117.053,0.68474,0.44451,0.98615,0.97389,1,0.995,0.79045,0.93508,0.37867,1.12679,0.000488938,0.000488938,0.000488938
125,117.974,0.70056,0.44866,0.9644,0.97389,1,0.995,0.79045,0.93508,0.37867,1.12679,0.00048275,0.00048275,0.00048275
126,118.914,0.63957,0.4142,0.929,0.97687,1,0.995,0.78807,0.92016,0.36867,1.12502,0.000476562,0.000476562,0.000476562
127,119.84,0.59103,0.3796,0.91352,0.97752,1,0.995,0.79253,0.91039,0.37049,1.12366,0.000470375,0.000470375,0.000470375
128,120.759,0.6102,0.41184,0.91869,0.97801,1,0.995,0.78849,0.90253,0.37666,1.11272,0.000464188,0.000464188,0.000464188
129,121.715,0.58637,0.4023,0.92049,0.97801,1,0.995,0.78849,0.90253,0.37666,1.11272,0.000458,0.000458,0.000458
130,122.659,0.58846,0.38425,0.9294,0.97819,1,0.995,0.78227,0.90164,0.37426,1.10929,0.000451813,0.000451813,0.000451813
131,123.584,0.62085,0.40011,0.94527,0.97814,1,0.995,0.79082,0.87792,0.35141,1.10598,0.000445625,0.000445625,0.000445625
132,124.499,0.60917,0.38623,0.94703,0.98012,1,0.995,0.8032,0.89128,0.35032,1.11113,0.000439437,0.000439437,0.000439437
133,125.462,0.63583,0.39594,0.92065,0.98012,1,0.995,0.8032,0.89128,0.35032,1.11113,0.00043325,0.00043325,0.00043325
134,126.415,0.58213,0.36618,0.92,0.98195,1,0.995,0.78392,0.91685,0.3654,1.13289,0.000427062,0.000427062,0.000427062
135,127.339,0.55079,0.37891,0.90847,0.98361,1,0.995,0.77418,0.92837,0.36978,1.12787,0.000420875,0.000420875,0.000420875
136,128.255,0.61314,0.38373,0.93563,0.98215,1,0.995,0.78314,0.93437,0.35315,1.11344,0.000414688,0.000414688,0.000414688
137,129.173,0.58497,0.37863,0.92686,0.98215,1,0.995,0.78314,0.93437,0.35315,1.11344,0.0004085,0.0004085,0.0004085
138,130.092,0.56322,0.34741,0.92015,0.97998,1,0.995,0.7688,0.98303,0.36154,1.1188,0.000402312,0.000402312,0.000402312
139,131.021,0.62525,0.38808,0.93302,0.97898,1,0.995,0.76052,1.00157,0.36341,1.13518,0.000396125,0.000396125,0.000396125
140,131.94,0.60315,0.38877,0.91506,0.981,1,0.995,0.7632,1.00147,0.37683,1.14985,0.000389938,0.000389938,0.000389938
141,132.859,0.5851,0.37661,0.91855,0.981,1,0.995,0.7632,1.00147,0.37683,1.14985,0.00038375,0.00038375,0.00038375
142,133.775,0.56006,0.36237,0.92044,0.9839,1,0.995,0.76493,0.97923,0.38447,1.15887,0.000377563,0.000377563,0.000377563
