epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,96.9094,0.74545,0.81989,0.45011,0.83505,0.81769,0.84963,0.94518,0.73481,0.81769,0.84963,0.94518,0.62032,0.83341,2.35513,0.75313,0.85826,0.000997513,0.000997513,0.000997513
63,98.4635,0.69084,0.78188,0.44303,0.83016,0.69439,0.63522,0.7618,0.60271,0.68363,0.62813,0.75201,0.36505,0.87851,6.75014,1.52103,0.87447,0.00099044,0.00099044,0.00099044
64,100.014,0.71374,0.87797,0.45251,0.82617,0.75882,0.76611,0.83143,0.64652,0.73693,0.75901,0.81695,0.45572,0.88497,3.93268,1.0743,0.86469,0.000983366,0.000983366,0.000983366
65,101.577,0.7018,0.78563,0.44411,0.82751,0.75882,0.76611,0.83143,0.64652,0.73693,0.75901,0.81695,0.45572,0.88497,3.93268,1.0743,0.86469,0.000976293,0.000976293,0.000976293
66,103.151,0.69409,0.83696,0.44453,0.82616,0.76549,0.7732,0.83965,0.6419,0.75542,0.75931,0.81557,0.45599,0.92542,3.68004,1.0629,0.86778,0.000969219,0.000969219,0.000969219
67,104.674,0.71746,0.82345,0.44891,0.83445,0.87016,0.79433,0.88536,0.64905,0.87375,0.79433,0.88188,0.50456,1.04026,3.18126,1.16717,0.89123,0.000962146,0.000962146,0.000962146
68,106.159,0.72803,0.74871,0.46106,0.83808,0.93221,0.93815,0.97125,0.7962,0.93221,0.93815,0.97125,0.6656,0.70648,1.54292,0.77484,0.83658,0.000955072,0.000955072,0.000955072
69,107.712,0.7448,0.87838,0.45985,0.83671,0.93221,0.93815,0.97125,0.7962,0.93221,0.93815,0.97125,0.6656,0.70648,1.54292,0.77484,0.83658,0.000947999,0.000947999,0.000947999
70,109.218,0.77508,0.8596,0.47569,0.84285,0.96445,0.95251,0.98794,0.82119,0.96445,0.95251,0.98794,0.62881,0.64259,1.48985,0.63185,0.82217,0.000940925,0.000940925,0.000940925
71,110.722,0.74042,0.85287,0.45604,0.8323,0.97865,0.96395,0.99071,0.85197,0.97865,0.96395,0.99071,0.68889,0.58978,0.89323,0.4424,0.8087,0.000933851,0.000933851,0.000933851
72,112.294,0.67089,0.80067,0.43906,0.81608,0.97975,0.99676,0.99376,0.86192,0.97975,0.99676,0.99376,0.71974,0.55385,0.7171,0.41628,0.80463,0.000926778,0.000926778,0.000926778
73,113.854,0.69541,0.80886,0.43888,0.83206,0.97975,0.99676,0.99376,0.86192,0.97975,0.99676,0.99376,0.71974,0.55385,0.7171,0.41628,0.80463,0.000919704,0.000919704,0.000919704
74,115.457,0.67071,0.78367,0.42647,0.81839,0.98332,0.98261,0.99197,0.84137,0.98332,0.98261,0.99197,0.68003,0.61387,0.71733,0.4217,0.80954,0.000912631,0.000912631,0.000912631
75,117.009,0.69521,0.78283,0.43506,0.81907,0.95842,1,0.99078,0.84911,0.95842,1,0.99078,0.66878,0.58022,0.78659,0.40453,0.80776,0.000905557,0.000905557,0.000905557
76,118.523,0.67043,0.75235,0.41998,0.82218,0.96589,0.9977,0.98995,0.8683,0.96589,0.9977,0.98995,0.69214,0.5537,0.7727,0.40413,0.807,0.000898484,0.000898484,0.000898484
77,120.148,0.78832,0.93993,0.45438,0.84325,0.96589,0.9977,0.98995,0.8683,0.96589,0.9977,0.98995,0.69214,0.5537,0.7727,0.40413,0.807,0.00089141,0.00089141,0.00089141
78,121.65,0.66016,0.77321,0.43899,0.82766,0.97372,0.98503,0.99154,0.86089,0.97372,0.98503,0.99154,0.73334,0.56683,0.70706,0.4054,0.8089,0.000884337,0.000884337,0.000884337
79,123.246,0.68084,0.82307,0.43838,0.82722,0.97881,0.99919,0.99312,0.8613,0.97881,0.99919,0.99312,0.73571,0.57114,0.70752,0.37319,0.80828,0.000877263,0.000877263,0.000877263
80,124.81,0.66144,0.8177,0.41075,0.82305,0.97947,1,0.9925,0.86235,0.97947,1,0.9925,0.71185,0.56571,0.74976,0.37457,0.8059,0.00087019,0.00087019,0.00087019
81,126.346,0.67071,0.74473,0.42315,0.81709,0.97947,1,0.9925,0.86235,0.97947,1,0.9925,0.71185,0.56571,0.74976,0.37457,0.8059,0.000863116,0.000863116,0.000863116
82,127.89,0.71885,0.80588,0.42835,0.82168,0.98329,0.99287,0.99312,0.87173,0.98329,0.99287,0.99312,0.72248,0.55567,0.71843,0.37933,0.80273,0.000856042,0.000856042,0.000856042
83,129.378,0.68884,0.77829,0.42666,0.83419,0.97788,1,0.99293,0.88009,0.97788,1,0.99293,0.74349,0.53984,0.65618,0.35735,0.80192,0.000848969,0.000848969,0.000848969
84,130.963,0.6406,0.72359,0.40376,0.8143,0.98388,1,0.99444,0.87103,0.98388,1,0.99444,0.75794,0.55601,0.6712,0.36043,0.80209,0.000841895,0.000841895,0.000841895
85,132.537,0.63799,0.7356,0.41273,0.81933,0.98388,1,0.99444,0.87103,0.98388,1,0.99444,0.75794,0.55601,0.6712,0.36043,0.80209,0.000834822,0.000834822,0.000834822
86,134.131,0.64793,0.7332,0.41765,0.82213,0.98218,1,0.99458,0.87486,0.98218,1,0.99458,0.76214,0.54275,0.67111,0.36433,0.80185,0.000827748,0.000827748,0.000827748
87,135.678,0.6705,0.78409,0.40881,0.83523,0.9881,0.98653,0.99444,0.88665,0.9881,0.98653,0.99444,0.74771,0.52272,0.608,0.3629,0.80104,0.000820675,0.000820675,0.000820675
88,137.185,0.60248,0.67215,0.38662,0.81737,0.98199,0.98598,0.99431,0.87682,0.98199,0.98598,0.99431,0.70945,0.55038,0.59932,0.36882,0.80329,0.000813601,0.000813601,0.000813601
89,138.712,0.61243,0.70656,0.40016,0.8175,0.98199,0.98598,0.99431,0.87682,0.98199,0.98598,0.99431,0.70945,0.55038,0.59932,0.36882,0.80329,0.000806528,0.000806528,0.000806528
